principal,rate,period
3195.254015709299,0.05993071925158795,6
3860.757465489678,0.0372081082926516,1
3411.0535042865754,0.04556092578129931,4
3179.5327319875873,0.031504007262592504,1
2694.619197355619,0.03047150956722897,1
3583.5764522666245,0.06985071486539379,5
2750.3488450507703,0.04952786632221748,9
4567.0920031283185,0.0448809905588768,6
4854.651042004118,0.03784688378255913,2
2533.7660753031105,0.06228768980354186,5
4166.900152330658,0.05823010878120592,9
3115.579679011618,0.030062247917185283,8
3272.1782443757293,0.060849066921609456,7
4702.386553170644,0.0344593098060284,7
1284.144232791548,0.06794530720736133,4
1348.517198806163,0.04330944335822023,2
1080.8735897613028,0.04804411101306044,7
4330.479382191752,0.030199236226950137,4
4112.627003799402,0.06297570753777887,2
4480.048592987277,0.04232673016920949,8
4914.473368931056,0.05225787504677788,9
4196.634256866894,0.06706403188238698,3
2845.9174490117275,0.03624889532862254,8
4122.1167051458215,0.06469318451723688,3
1473.097703475733,0.05000955723370219,2
3559.6840853100953,0.06697824696226483,2
1573.4131496361856,0.06289420200745705,4
4778.675668198335,0.047719201226363556,8
3087.393287000287,0.03354847082858976,8
2658.6477599620944,0.031207898195281025,4
2058.222448418508,0.06496923239336304,2
4096.934757736866,0.04897139669833475,9
2824.6013288661943,0.056547796317110065,3
3273.735795474594,0.06526593656835411,6
1075.1592017454207,0.042186359659387884,2
3470.5419883035083,0.0658305207356539,2
3448.3828908896858,0.031101297577107532,5
3467.7359874990275,0.0411970271493653,8
4774.992314058496,0.062470655803984955,5
3727.2811964139337,0.06412881273294588,5
2438.031602295144,0.06779341581430345,9
2748.1278151973656,0.042120450898556136,9
3790.5247837090596,0.061209423424645464,3
1240.9018865170792,0.0694052121059534,8
3667.066861782671,0.051080240604470195,1
3682.5514784726374,0.040103851585520864,9
1841.5302442953634,0.031558492615887265,2
1515.7051906194133,0.060386122511352364,8
2261.7134036967354,0.035553815377538676,2
2454.8430837704905,0.045477704257238516,5
3280.7870816715185,0.04237111526613016,3
2754.4060538492813,0.04667402691814608,5
4953.495352236905,0.06623995979730252,5
1408.1792429921122,0.04703791044887448,1
1835.5070243793389,0.06650977250494491,7
1645.238071539985,0.06221603438802854,7
3612.433301861594,0.04153513328274017,1
2013.1664101591284,0.04272356076205329,5
2865.2430914252254,0.04479376898405702,5
1977.702368006411,0.05422588766480409,8
1635.8783345820789,0.05696250068565244,8
1441.5005646572206,0.06888919342824815,8
3625.318357861094,0.06706064253988248,3
1552.7318053944553,0.054474868857027986,3
1786.329446720214,0.031849551179964436,7
2474.9006826438563,0.051812304815708046,8
4283.972919391741,0.04614560885091104,2
1388.4051031722452,0.05179114901727662,3
4351.779629995215,0.03160705493039668,6
1384.3936315758524,0.0698304882970871,7
4905.837860053583,0.032278334816784035,9
2874.604806590806,0.040907197373331726,2
4907.044352761348,0.0328849611575199,1
3419.382078980184,0.05190444424017083,4
3957.0543175932066,0.04407273186216625,4
1156.7511690172828,0.04501199371410865,4
2131.2278503056386,0.06156670083431756,7
1480.7862448526757,0.06616080462277275,8
2184.56079008858,0.03662787932463457,3
1474.9108758169762,0.04115907760239828,1
2271.932717575904,0.048909144807863396,9
2657.05197805868,0.034515266805679526,8
1256.5899853951373,0.04546152328206411,2
3769.8884774800795,0.04208352182459538,6
3266.4058168263005,0.06687905348133731,6
2061.5579637577816,0.037941364817419915,8
3092.9922138667985,0.05884845592293523,9
1375.7620430337668,0.03863572835013822,4
3303.785982224717,0.05502633515048236,3
4717.1847903048565,0.05327962912561923,6
2274.2758098052946,0.04834897170838033,3
3669.6415198547265,0.06267629208727712,8
1527.1914496175687,0.0389086877751276,6
3865.308816474262,0.049091208960996266,6
2157.6243717888046,0.06929670405692767,5
1732.7654480284673,0.03733047157152936,1
3346.0517392403326,0.05181729819361486,2
1080.4301847499742,0.04172423133233886,5
4315.760116869453,0.03495224238004337,7
1018.7819047701882,0.0640637192357017,1
3711.2661471849206,0.05310715366286527,8
2080.0318927686594,0.05315317054041185,5
3940.7760884903796,0.051813389490587065,1
4848.754180469753,0.037378724272807,2
1995.0125740798321,0.052745326623447004,4
3304.6293376713475,0.0336555605774166,4
3368.167725087356,0.057305674816791885,5
3289.0076231634935,0.03205828672238102,3
1892.3265305624732,0.03756604467886758,8
4810.9960460679395,0.041768711883766595,8
2788.5015144705094,0.041157248706395165,7
4385.634689884511,0.062484091558412905,1
3797.917101270017,0.04151002578406996,3
2189.7478034205346,0.032958316084875226,3
4255.191278809909,0.03271930774339573,5
2586.0229633879385,0.03597654077539754,6
4524.412788444646,0.04576767601849695,6
3325.0914905434347,0.03787256934944142,8
4526.941447419411,0.03940089437949991,1
3770.1263603110633,0.037359026219813074,3
3901.017119278562,0.041949415888580824,4
3005.297527706809,0.05019434914492416,5
4824.334538892896,0.0688538828673706,9
3575.9607969185495,0.06167961767505131,7
2695.420194232719,0.03690082813840617,1
3425.5728565116974,0.062114027616433296,3
1076.772793237334,0.058403721195899455,1
2206.2992666981972,0.06623193639593647,6
3640.69414997074,0.04738826934097691,5
2160.3104288417762,0.06468394730255819,8
3472.0617159953663,0.05792361010110943,6
2715.0748037830645,0.04092370304451773,4
1541.896256889801,0.04559104593959117,6
2193.129303824123,0.06353914358641874,2
3279.8596428050596,0.0623084911923449,3
3363.491044992693,0.03982023890873616,8
3297.300995398315,0.06345095562464455,2
3612.8032794285346,0.06783028287814462,5
3608.4130800067555,0.06511077834509932,7
2725.673741735896,0.04525152110851961,8
4586.186383404252,0.0516464718231816,4
2470.247480191586,0.06383842569206,6
2743.4597010625075,0.058656017101782795,9
4567.693420062688,0.05836419760512633,1
4224.775956184343,0.0414100584441698,4
3815.5543341614652,0.05443207559762703,8
1400.9075492492045,0.03217844462995788,7
4677.930454978694,0.04188589598247239,6
3856.9651981964457,0.03811155464762592,3
4995.3880262714665,0.04548058297187378,5
1597.793218631975,0.05952918344991509,4
4472.504229472857,0.04042164511091934,4
1649.9717387054993,0.03715660365243901,8
3462.238257135377,0.06368142701289634,7
1495.2799313977662,0.06660391855785612,8
4392.032917288938,0.04784866385317891,6
4229.275834900043,0.039779910874233715,1
3276.402954458373,0.04009463607209683,2
2628.733188903999,0.0466471955096126,4
1276.667981820552,0.06209771750277775,1
3789.7150925782544,0.05245926723348006,3
2814.170730712275,0.05309343787437827,2
3888.2223978813918,0.06912629262551148,9
4465.529303714517,0.03310700787447825,5
4902.086020011543,0.04900053573243554,1
4423.213369570444,0.04917609180462324,8
1046.856336740008,0.05215895903075096,2
2439.9122579134555,0.036717609494514455,4
3919.962249696232,0.036756885935960736,1
1686.518709045762,0.04661794243803254,6
3084.146424816517,0.05424869025165907,4
1217.3519533570145,0.0421121010013638,5
1799.9860995856002,0.049900768164657286,9
1074.087177842456,0.069470290973276,2
4174.790813429683,0.03121724069559308,2
1895.6987522415207,0.04863469143302006,4
2381.4067227876108,0.04895618789370342,7
4712.325173862364,0.05767225554882183,4
3817.657607694131,0.040656004611496654,7
1127.3557181252313,0.06199736269877239,3
1658.7766259916511,0.04603973680105943,8
3485.913605999054,0.03380649570475304,3
3308.9143544166704,0.05520241996247834,2
1951.5712854980345,0.031055725775980387,1
4736.855991699174,0.058672087745136645,9
3455.863823863584,0.030485611910422317,1
3142.5312120998333,0.05386680809439166,7
3359.639905418284,0.06483567917947441,6
3920.4881180670786,0.05793633709047774,5
2247.7799819184074,0.054973750189560765,9
2592.8842488643677,0.04727164501149373,4
1839.3749959004886,0.0434478206762703,1
1744.7720235213446,0.04481182083776717,5
4777.489559935734,0.0450010567992698,6
3958.2031801971502,0.051195345177184104,3
2961.835234470268,0.03573320324268082,7
1909.658511893293,0.0652752774053565,2
2017.425927081572,0.05503502177222459,8
1232.1166412955024,0.0449774491131639,5
2737.6665022324833,0.06928848656458103,7
2247.18352797641,0.06490110146501123,7
3785.373955261838,0.054272647581412856,2
2511.0073571699236,0.04486995273814155,8
1718.414710238539,0.04476375423995369,2
1098.7149135653249,0.03266826905404287,1
1268.9985258529944,0.04370083883148338,4
3717.571093994269,0.039827369137328525,7
2814.7873782241813,0.05434204489061663,8
3146.316844434889,0.05880653942246014,4
4586.685172161368,0.041696992422868395,2
4961.355789586818,0.05184589997675289,5
1867.5879375938957,0.061483185726548345,9
3652.3128124004033,0.05567615241084538,5
2053.2895069486026,0.0597464525002875,8
1082.6039978629146,0.03872318750890604,1
4033.5146153445658,0.055401995720802885,7
2280.068603289871,0.04095137252365002,2
2533.8555766875916,0.03923002353129716,9
3353.268454214423,0.04083749116614731,1
4324.193820944762,0.04466102046098666,7
3515.927374364595,0.048837616661518195,2
4490.6026217895815,0.03917045770276906,2
2094.1681392625433,0.04399853981167101,1
4192.187335650255,0.06585986860454514,5
1742.5437772238088,0.03538507630085063,6
4811.166627887778,0.03862896239965503,5
3749.953105551261,0.032427707717708434,5
1862.0307084542337,0.058355245190050344,4
4789.482361955697,0.05117642855084621,8
3923.4232270806315,0.0489728136278602,2
2015.7665703801033,0.031376607029798845,7
1853.247909469928,0.0684537066205575,6
3072.802855722653,0.06376309458679588,5
1102.6508722181263,0.06281496432470648,2
1829.8803017644377,0.06500869902149906,3
2698.741875006025,0.06108100643713732,5
2496.679921336902,0.03557750269487236,5
2854.301697459243,0.06885969723914748,7
2110.514825178928,0.06734873891760638,7
3347.137385832675,0.05784308445515893,1
4455.422423692926,0.04168042706112304,2
1470.1274238481324,0.030044444335624514,5
3069.516428616457,0.04943447077654953,6
1528.2724253806132,0.05379213890148944,9
3867.438724770375,0.06975925292650212,7
2584.2388112291746,0.03531660148198867,2
3261.685247434036,0.03355280389971169,3
1733.1193448563145,0.04705273752012959,1
1579.3910373735089,0.06003824889069048,9
2952.225122595818,0.043602813180333835,2
2422.4509513998228,0.056494410107638955,1
4761.727781011252,0.06557753546403591,9
4061.301015227861,0.06172647964413402,6
3994.6544794021893,0.034063834340961024,9
4614.878958983734,0.04784301308572015,8
1333.6897417680743,0.031519706176954994,6
3208.769879689626,0.036745532977457605,6
3337.9042758230753,0.060828441060712404,5
4847.745514188916,0.03696372527347931,6
2168.5901071701956,0.05235256197239158,5
1963.3151196617873,0.05459913944786973,4
1401.1757690619913,0.03626545347979586,7
1065.718518365897,0.06659288650206999,9
4718.117267168762,0.03234007389748767,7
3679.66618636364,0.06676938365842934,4
4140.611648092551,0.03455197548642809,9
2126.9204230157966,0.06603479933368436,4
3345.640664745307,0.044715637078015735,1
1255.8210644839246,0.06159363159211736,8
2942.5103837384913,0.04576950540992019,3
4909.980558977787,0.059326259322036154,8
4506.020981266363,0.06409563021567577,9
2352.6358073473825,0.05101755514304858,6
4846.280618165994,0.04608558268200791,8
1926.806505884818,0.04578530560549325,7
4797.275289662726,0.0322636705146637,7
4765.510818825995,0.03059262868308759,1
4196.810349409567,0.059742805370545674,6
3521.7917474671644,0.04661597933609411,8
4497.1518664997875,0.03604371073728552,6
2172.081138031187,0.06486147988353479,4
4395.774221251673,0.05551086902251852,2
3471.506767670095,0.04898017793425095,6
1052.947431035598,0.04427939973015639,2
2388.9340717288783,0.04378985305507814,8
1592.56344379266,0.04485681123086821,5
4927.317559273013,0.06546217343450478,2
2913.4812281599525,0.04514416509641726,4
2989.565461994651,0.030772657241913335,5
3557.8900655948946,0.03579734766623469,8
